pid,title,clapCount,commentCount,playCount,favoriteCount,pubDate,duration
5e61155b418a84a046401f72,Steve说282期 - 听众来信：糟糕的关系和没有关系，哪个更难忍？,202,138,11830,108,2022-05-07T10:00:00.000Z,3744
5e61155b418a84a046401f72,Steve说281期 - 严艺家 - 最近我们不再是咨询师，而是末日生存狂,500,248,26696,393,2022-05-01T02:45:00.000Z,6731
5e61155b418a84a046401f72,Steve说280期 - 沈奕斐 - 人生是一步一步往灵魂深处走,459,280,24662,355,2022-04-22T05:00:00.000Z,3960
5e61155b418a84a046401f72,Steve说279期 - 面对死亡，活更久不一定是最好的答案,393,253,17301,189,2022-04-17T09:00:00.000Z,3558
5e61155b418a84a046401f72,Steve说278期 - 小缅&豆豆 - 如何让猫咪做你的心理咨询师？,126,121,8617,79,2022-04-09T04:00:00.000Z,2866
5e61155b418a84a046401f72,Steve说277期 - 小老虎&梁鸿儒 - 你在演谁的戏？你的舞台是谁搭的？,142,147,10879,60,2022-04-02T12:30:00.000Z,5912
5e61155b418a84a046401f72,Steve说276期 - 躺平是灵魂最无奈的胜利,1200,572,36810,871,2022-03-27T11:00:00.000Z,3750
5e61155b418a84a046401f72,Steve说275期 - 听众来信 - 感情上会被骗的人，心里都特别想爱自己,347,124,18910,192,2022-03-20T12:45:00.000Z,3476
5e61155b418a84a046401f72,Steve说274期 - 陈楸帆 - 理性工作交给AI，人类走向意识深处,435,159,25376,411,2022-03-10T10:00:00.000Z,7100
5e61155b418a84a046401f72,Steve说273期 - 王菊 - 透过“夏梦”这个角色，我们聊聊女性事业发展的自信,216,153,15986,122,2022-03-01T11:00:00.000Z,4467
5e61155b418a84a046401f72,Steve说272期 - 袁源 - 伦理无法阻止战争，但让我们更接近和平,733,433,27563,490,2022-02-25T12:00:00.000Z,7080
5e61155b418a84a046401f72,Steve说271期 - 你的爱情之道只有你最懂（内含八卦）,1110,578,38450,711,2022-02-16T13:30:00.000Z,4471
5e61155b418a84a046401f72,Steve说270期 - 我给坐在自己墓地里的爸爸拍照,164,76,7820,44,2022-02-12T05:00:00.000Z,3113
5e61155b418a84a046401f72,Steve说269期 - 听众来信：跳出子女视角来看父母关系问题,296,105,17663,139,2022-01-29T11:00:00.000Z,3377
5e61155b418a84a046401f72,Steve说268期 - Jess&学霸猫 - 如果自我是个幻觉，幻觉背后是什么？,372,327,32449,406,2022-01-23T04:00:00.000Z,7268
